,Participant ID,Session,gender:,age,left-handed,date,exp name,Experiment Start Time,Experiment End Time,Experiment Data
0,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Stim Type': 'Instructions', 'Start Time (ms)': 79.0700912475586, 'Total Time (ms)': 2042.360782623291, 'CEDRUS Total Time (ms)': 2035, 'Total Frames': 123}"
1,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Trial': 0, 'totalStimuliDisplay': 1, 'Stim Type': 'X0', 'Probability of 0': 0.45, 'Total 0s': 14, 'Start Time (ms)': 2531.728982925415, 'Total Time (ms)': 254.55093383789062, 'Total Frames': 15}"
2,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Trial': 0, 'totalStimuliDisplay': None, 'Stim Type': 'opt', 'Response': [3], 'Probability of 0': 0.45, 'Start Time (ms)': 2789.5169258117676, 'Reaction Time (ms)': 679.5980930328369, 'CEDRUS Total Time (ms) Reaction Time (ms)': 0.6795980930328369, 'Reaction Time (frames)': 41, 'Total Time (ms)': 679.5980930328369, 'Total Frames': 41}"
3,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Trial': 0, 'totalStimuliDisplay': 2, 'Stim Type': 'X0', 'Probability of 0': 0.45, 'Total 0s': 19, 'Start Time (ms)': 3828.191041946411, 'Total Time (ms)': 240.8909797668457, 'Total Frames': 15}"
4,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Trial': 0, 'totalStimuliDisplay': None, 'Stim Type': 'opt', 'Response': [3], 'Probability of 0': 0.45, 'Start Time (ms)': 4071.7389583587646, 'Reaction Time (ms)': 997.5490570068359, 'CEDRUS Total Time (ms) Reaction Time (ms)': 0.9975490570068359, 'Reaction Time (frames)': 60, 'Total Time (ms)': 997.5490570068359, 'Total Frames': 60}"
5,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Trial': 0, 'totalStimuliDisplay': 3, 'Stim Type': 'X0', 'Probability of 0': 0.45, 'Total 0s': 11, 'Start Time (ms)': 5430.222988128662, 'Total Time (ms)': 236.89508438110352, 'Total Frames': 15}"
6,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Trial': 0, 'totalStimuliDisplay': None, 'Stim Type': 'opt', 'Response': [3], 'Probability of 0': 0.45, 'Start Time (ms)': 5669.806003570557, 'Reaction Time (ms)': 830.6000232696533, 'CEDRUS Total Time (ms) Reaction Time (ms)': 0.8306000232696533, 'Reaction Time (frames)': 50, 'Total Time (ms)': 830.6000232696533, 'Total Frames': 50}"
7,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Trial': 0, 'totalStimuliDisplay': 4, 'Stim Type': 'X0', 'Probability of 0': 0.45, 'Total 0s': 20, 'Start Time (ms)': 6861.455917358398, 'Total Time (ms)': 240.99016189575195, 'Total Frames': 15}"
8,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Trial': 0, 'totalStimuliDisplay': None, 'Stim Type': 'opt', 'Response': [3], 'Probability of 0': 0.45, 'Start Time (ms)': 7105.123043060303, 'Reaction Time (ms)': 963.7179374694824, 'CEDRUS Total Time (ms) Reaction Time (ms)': 0.9637179374694824, 'Reaction Time (frames)': 58, 'Total Time (ms)': 963.7179374694824, 'Total Frames': 58}"
9,testDataChainProbabilities,1,male,,False,2022_Mar_28_1702,Letter-Biased Task,0.00095367431640625,676149.5690345764,"{'Trial': 0, 'totalStimuliDisplay': 5, 'Stim Type': 'X0', 'Probability of 0': 0.45, 'Total 0s': 22, 'Start Time (ms)': 8429.699897766113, 'Total Time (ms)': 239.45212364196777, 'Total Frames': 15}"
